model_type,curve,x_value,y_value
hist_gradient_boosting,ROC,0.0,0.0
hist_gradient_boosting,ROC,0.0,0.007194244604316547
hist_gradient_boosting,ROC,0.0,0.09352517985611511
hist_gradient_boosting,ROC,0.006097560975609756,0.09352517985611511
hist_gradient_boosting,ROC,0.006097560975609756,0.2446043165467626
hist_gradient_boosting,ROC,0.012195121951219513,0.2446043165467626
hist_gradient_boosting,ROC,0.012195121951219513,0.31654676258992803
hist_gradient_boosting,ROC,0.018292682926829267,0.31654676258992803
hist_gradient_boosting,ROC,0.018292682926829267,0.43884892086330934
hist_gradient_boosting,ROC,0.03048780487804878,0.43884892086330934
hist_gradient_boosting,ROC,0.03048780487804878,0.4892086330935252
hist_gradient_boosting,ROC,0.036585365853658534,0.4892086330935252
hist_gradient_boosting,ROC,0.036585365853658534,0.539568345323741
hist_gradient_boosting,ROC,0.042682926829268296,0.539568345323741
hist_gradient_boosting,ROC,0.042682926829268296,0.5611510791366906
hist_gradient_boosting,ROC,0.04878048780487805,0.5611510791366906
hist_gradient_boosting,ROC,0.04878048780487805,0.5683453237410072
hist_gradient_boosting,ROC,0.054878048780487805,0.5683453237410072
hist_gradient_boosting,ROC,0.054878048780487805,0.5971223021582733
hist_gradient_boosting,ROC,0.07926829268292683,0.5971223021582733
hist_gradient_boosting,ROC,0.07926829268292683,0.6330935251798561
hist_gradient_boosting,ROC,0.09146341463414634,0.6330935251798561
hist_gradient_boosting,ROC,0.09146341463414634,0.6402877697841727
hist_gradient_boosting,ROC,0.0975609756097561,0.6402877697841727
hist_gradient_boosting,ROC,0.0975609756097561,0.6474820143884892
hist_gradient_boosting,ROC,0.10975609756097561,0.6474820143884892
hist_gradient_boosting,ROC,0.10975609756097561,0.6546762589928058
hist_gradient_boosting,ROC,0.11585365853658537,0.6546762589928058
hist_gradient_boosting,ROC,0.11585365853658537,0.6690647482014388
hist_gradient_boosting,ROC,0.12195121951219512,0.6690647482014388
hist_gradient_boosting,ROC,0.12195121951219512,0.6834532374100719
hist_gradient_boosting,ROC,0.12804878048780488,0.6834532374100719
hist_gradient_boosting,ROC,0.12804878048780488,0.7194244604316546
hist_gradient_boosting,ROC,0.13414634146341464,0.7194244604316546
hist_gradient_boosting,ROC,0.13414634146341464,0.7338129496402878
hist_gradient_boosting,ROC,0.14634146341463414,0.7338129496402878
hist_gradient_boosting,ROC,0.14634146341463414,0.7482014388489209
hist_gradient_boosting,ROC,0.1524390243902439,0.7482014388489209
hist_gradient_boosting,ROC,0.1524390243902439,0.762589928057554
hist_gradient_boosting,ROC,0.15853658536585366,0.762589928057554
hist_gradient_boosting,ROC,0.15853658536585366,0.7697841726618705
hist_gradient_boosting,ROC,0.16463414634146342,0.7697841726618705
hist_gradient_boosting,ROC,0.16463414634146342,0.7769784172661871
hist_gradient_boosting,ROC,0.17073170731707318,0.7769784172661871
hist_gradient_boosting,ROC,0.17073170731707318,0.7841726618705036
hist_gradient_boosting,ROC,0.17682926829268292,0.7841726618705036
hist_gradient_boosting,ROC,0.17682926829268292,0.8129496402877698
hist_gradient_boosting,ROC,0.18292682926829268,0.8129496402877698
hist_gradient_boosting,ROC,0.18292682926829268,0.8273381294964028
hist_gradient_boosting,ROC,0.18902439024390244,0.8273381294964028
hist_gradient_boosting,ROC,0.18902439024390244,0.8345323741007195
hist_gradient_boosting,ROC,0.21341463414634146,0.8345323741007195
hist_gradient_boosting,ROC,0.21341463414634146,0.8489208633093526
hist_gradient_boosting,ROC,0.22560975609756098,0.8489208633093526
hist_gradient_boosting,ROC,0.22560975609756098,0.8561151079136691
hist_gradient_boosting,ROC,0.23170731707317074,0.8561151079136691
hist_gradient_boosting,ROC,0.23170731707317074,0.8633093525179856
hist_gradient_boosting,ROC,0.31097560975609756,0.8633093525179856
hist_gradient_boosting,ROC,0.31097560975609756,0.8776978417266187
hist_gradient_boosting,ROC,0.3231707317073171,0.8776978417266187
hist_gradient_boosting,ROC,0.3231707317073171,0.8848920863309353
hist_gradient_boosting,ROC,0.34146341463414637,0.8848920863309353
hist_gradient_boosting,ROC,0.34146341463414637,0.8920863309352518
hist_gradient_boosting,ROC,0.36585365853658536,0.8920863309352518
hist_gradient_boosting,ROC,0.36585365853658536,0.8992805755395683
hist_gradient_boosting,ROC,0.38414634146341464,0.8992805755395683
hist_gradient_boosting,ROC,0.38414634146341464,0.920863309352518
hist_gradient_boosting,ROC,0.43902439024390244,0.920863309352518
hist_gradient_boosting,ROC,0.43902439024390244,0.9424460431654677
hist_gradient_boosting,ROC,0.47560975609756095,0.9424460431654677
hist_gradient_boosting,ROC,0.47560975609756095,0.9496402877697842
hist_gradient_boosting,ROC,0.4878048780487805,0.9496402877697842
hist_gradient_boosting,ROC,0.4878048780487805,0.9568345323741008
hist_gradient_boosting,ROC,0.5182926829268293,0.9568345323741008
hist_gradient_boosting,ROC,0.5182926829268293,0.9640287769784173
hist_gradient_boosting,ROC,0.5487804878048781,0.9640287769784173
hist_gradient_boosting,ROC,0.5487804878048781,0.9712230215827338
hist_gradient_boosting,ROC,0.5792682926829268,0.9712230215827338
hist_gradient_boosting,ROC,0.5792682926829268,0.9784172661870504
hist_gradient_boosting,ROC,0.6463414634146342,0.9784172661870504
hist_gradient_boosting,ROC,0.6463414634146342,0.9856115107913669
hist_gradient_boosting,ROC,0.6707317073170732,0.9856115107913669
hist_gradient_boosting,ROC,0.6707317073170732,0.9928057553956835
hist_gradient_boosting,ROC,0.7926829268292683,0.9928057553956835
hist_gradient_boosting,ROC,0.7926829268292683,1.0
hist_gradient_boosting,ROC,1.0,1.0
hist_gradient_boosting,PR,1.0,0.45874587458745875
hist_gradient_boosting,PR,1.0,0.4602649006622517
hist_gradient_boosting,PR,1.0,0.46179401993355484
hist_gradient_boosting,PR,1.0,0.4633333333333333
hist_gradient_boosting,PR,1.0,0.46488294314381273
hist_gradient_boosting,PR,1.0,0.4664429530201342
hist_gradient_boosting,PR,1.0,0.468013468013468
hist_gradient_boosting,PR,1.0,0.46959459459459457
hist_gradient_boosting,PR,1.0,0.4711864406779661
hist_gradient_boosting,PR,1.0,0.47278911564625853
hist_gradient_boosting,PR,1.0,0.47440273037542663
hist_gradient_boosting,PR,1.0,0.476027397260274
hist_gradient_boosting,PR,1.0,0.47766323024054985
hist_gradient_boosting,PR,1.0,0.4793103448275862
hist_gradient_boosting,PR,1.0,0.4809688581314879
hist_gradient_boosting,PR,1.0,0.4826388888888889
hist_gradient_boosting,PR,1.0,0.4843205574912892
hist_gradient_boosting,PR,1.0,0.486013986013986
hist_gradient_boosting,PR,1.0,0.48771929824561405
hist_gradient_boosting,PR,1.0,0.4894366197183099
hist_gradient_boosting,PR,1.0,0.4911660777385159
hist_gradient_boosting,PR,1.0,0.4929078014184397
hist_gradient_boosting,PR,1.0,0.49466192170818507
hist_gradient_boosting,PR,1.0,0.49642857142857144
hist_gradient_boosting,PR,1.0,0.4982078853046595
hist_gradient_boosting,PR,1.0,0.5
hist_gradient_boosting,PR,1.0,0.5018050541516246
hist_gradient_boosting,PR,1.0,0.5036231884057971
hist_gradient_boosting,PR,1.0,0.5054545454545455
hist_gradient_boosting,PR,1.0,0.5072992700729927
hist_gradient_boosting,PR,1.0,0.5091575091575091
hist_gradient_boosting,PR,1.0,0.5110294117647058
hist_gradient_boosting,PR,1.0,0.5129151291512916
hist_gradient_boosting,PR,1.0,0.5148148148148148
