model_type,fold,metric_name,metric_value
hist_gradient_boosting_calibrated,7,accuracy,0.766667
hist_gradient_boosting_calibrated,8,accuracy,0.8
hist_gradient_boosting_calibrated,9,accuracy,0.866667
hist_gradient_boosting_calibrated,10,accuracy,0.766667
hist_gradient_boosting_calibrated,1,brier_score,0.122794
hist_gradient_boosting_calibrated,2,brier_score,0.08654
hist_gradient_boosting_calibrated,3,brier_score,0.164501
hist_gradient_boosting_calibrated,4,brier_score,0.140807
hist_gradient_boosting_calibrated,5,brier_score,0.136969
hist_gradient_boosting_calibrated,6,brier_score,0.152004
hist_gradient_boosting_calibrated,7,brier_score,0.124408
hist_gradient_boosting_calibrated,8,brier_score,0.173267
hist_gradient_boosting_calibrated,9,brier_score,0.086497
hist_gradient_boosting_calibrated,10,brier_score,0.188253
hist_gradient_boosting_calibrated,1,f1,0.827586
hist_gradient_boosting_calibrated,2,f1,0.833333
hist_gradient_boosting_calibrated,3,f1,0.733333
hist_gradient_boosting_calibrated,4,f1,0.846154
hist_gradient_boosting_calibrated,5,f1,0.758621
hist_gradient_boosting_calibrated,6,f1,0.75
hist_gradient_boosting_calibrated,7,f1,0.72
hist_gradient_boosting_calibrated,8,f1,0.785714
hist_gradient_boosting_calibrated,9,f1,0.833333
hist_gradient_boosting_calibrated,10,f1,0.740741
hist_gradient_boosting_calibrated,1,pr_auc,0.851134
hist_gradient_boosting_calibrated,2,pr_auc,0.963429
hist_gradient_boosting_calibrated,3,pr_auc,0.856508
hist_gradient_boosting_calibrated,4,pr_auc,0.823801
hist_gradient_boosting_calibrated,5,pr_auc,0.92622
hist_gradient_boosting_calibrated,6,pr_auc,0.85154
hist_gradient_boosting_calibrated,7,pr_auc,0.909694
hist_gradient_boosting_calibrated,8,pr_auc,0.845894
hist_gradient_boosting_calibrated,9,pr_auc,0.976101
hist_gradient_boosting_calibrated,10,pr_auc,0.815907
hist_gradient_boosting_calibrated,1,precision,0.8
hist_gradient_boosting_calibrated,2,precision,1.0
hist_gradient_boosting_calibrated,3,precision,0.6875
hist_gradient_boosting_calibrated,4,precision,0.846154
hist_gradient_boosting_calibrated,5,precision,0.733333
hist_gradient_boosting_calibrated,6,precision,0.9
hist_gradient_boosting_calibrated,7,precision,0.818182
hist_gradient_boosting_calibrated,8,precision,0.785714
hist_gradient_boosting_calibrated,9,precision,1.0
hist_gradient_boosting_calibrated,10,precision,0.769231
hist_gradient_boosting_calibrated,1,recall,0.857143
hist_gradient_boosting_calibrated,2,recall,0.714286
hist_gradient_boosting_calibrated,3,recall,0.785714
hist_gradient_boosting_calibrated,4,recall,0.846154
hist_gradient_boosting_calibrated,5,recall,0.785714
hist_gradient_boosting_calibrated,6,recall,0.642857
hist_gradient_boosting_calibrated,7,recall,0.642857
hist_gradient_boosting_calibrated,8,recall,0.785714
hist_gradient_boosting_calibrated,9,recall,0.714286
hist_gradient_boosting_calibrated,10,recall,0.714286
hist_gradient_boosting_calibrated,1,roc_auc,0.901261
hist_gradient_boosting_calibrated,2,roc_auc,0.957983
hist_gradient_boosting_calibrated,3,roc_auc,0.869748
hist_gradient_boosting_calibrated,4,roc_auc,0.873303
hist_gradient_boosting_calibrated,5,roc_auc,0.919643
hist_gradient_boosting_calibrated,6,roc_auc,0.852679
hist_gradient_boosting_calibrated,7,roc_auc,0.901786
hist_gradient_boosting_calibrated,8,roc_auc,0.825893
hist_gradient_boosting_calibrated,9,roc_auc,0.973214
hist_gradient_boosting_calibrated,10,roc_auc,0.825893
logistic_regression,1,accuracy,0.83871
logistic_regression,2,accuracy,0.903226
logistic_regression,3,accuracy,0.83871
logistic_regression,4,accuracy,0.833333
logistic_regression,5,accuracy,0.866667
logistic_regression,6,accuracy,0.766667
logistic_regression,7,accuracy,0.833333
logistic_regression,8,accuracy,0.766667
logistic_regression,9,accuracy,0.933333
logistic_regression,10,accuracy,0.833333
logistic_regression,1,brier_score,0.124091
logistic_regression,2,brier_score,0.074844
logistic_regression,3,brier_score,0.130445
logistic_regression,4,brier_score,0.130307
logistic_regression,5,brier_score,0.107618
logistic_regression,6,brier_score,0.157544
logistic_regression,7,brier_score,0.071571
logistic_regression,8,brier_score,0.159313
logistic_regression,9,brier_score,0.074105
logistic_regression,10,brier_score,0.151363
logistic_regression,1,f1,0.814815
logistic_regression,2,f1,0.896552
logistic_regression,3,f1,0.814815
logistic_regression,4,f1,0.814815
logistic_regression,5,f1,0.857143
logistic_regression,6,f1,0.72
logistic_regression,7,f1,0.814815
logistic_regression,8,f1,0.740741
logistic_regression,9,f1,0.923077
logistic_regression,10,f1,0.8
logistic_regression,1,pr_auc,0.906584
logistic_regression,2,pr_auc,0.984127
logistic_regression,3,pr_auc,0.852368
logistic_regression,4,pr_auc,0.867822
logistic_regression,5,pr_auc,0.945975
logistic_regression,6,pr_auc,0.862013
logistic_regression,7,pr_auc,0.971344
logistic_regression,8,pr_auc,0.891807
logistic_regression,9,pr_auc,0.960506
logistic_regression,10,pr_auc,0.866798
